epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.204,1.1944,1.4037,1.21736,0.64254,0.53894,0.61237,0.44995,1.07965,1.12466,1.12374,8.33e-06,8.33e-06,8.33e-06
2,342.861,1.14399,1.38419,1.19103,0.68072,0.55598,0.63065,0.467,1.07087,1.09736,1.11815,1.60829e-05,1.60829e-05,1.60829e-05
3,447.163,1.16496,1.3899,1.19487,0.69261,0.55823,0.63906,0.47631,1.06659,1.07981,1.11467,2.19507e-05,2.19507e-05,2.19507e-05
4,617.047,1.13001,1.22256,1.18072,0.70445,0.58321,0.65955,0.49233,1.06043,1.05293,1.11301,2.59337e-05,2.59337e-05,2.59337e-05
5,975.48,1.10482,1.2402,1.17358,0.70626,0.59774,0.66713,0.49945,1.05136,1.02782,1.10416,2.80316e-05,2.80316e-05,2.80316e-05
6,1200.32,1.11248,1.22413,1.17011,0.70216,0.62427,0.67736,0.50704,1.04167,1.00486,1.09705,2.82447e-05,2.82447e-05,2.82447e-05
7,1473.85,1.06825,1.1586,1.13517,0.71031,0.61389,0.68794,0.5147,1.03567,0.98708,1.09327,2.65727e-05,2.65727e-05,2.65727e-05
8,1702.89,1.09239,1.19826,1.16345,0.70803,0.62045,0.70318,0.52182,1.03062,0.97214,1.08919,2.30158e-05,2.30158e-05,2.30158e-05
9,1919.6,1.10435,1.1038,1.151,0.70633,0.61854,0.70368,0.5261,1.02749,0.96223,1.08794,1.75739e-05,1.75739e-05,1.75739e-05
10,2120.57,1.0626,1.12406,1.12902,0.71322,0.62576,0.70582,0.52809,1.02519,0.95916,1.08633,1.02471e-05,1.02471e-05,1.02471e-05
